Date,Month,Visitors (Visit),Buyers (Placed Orders),Units (Placed Orders),Orders (Placed Orders),Sales (Placed Orders) (VND),Conversion Rate (Visit to Placed),Buyers (Confirmed Orders),Units(Confirmed Orders),Orders (Confirmed Orders),Sales(Confirmed Orders) (VND),Sales per Buyer (Confirmed Orders) (VND),Conversion Rate
5/11/2025,5,574553,2603,4579,2898,852342445,0.45%,2501,4199,2614,763960940,305462,0.44%
5/12/2025,5,554013,2486,4598,2741,866174417,0.45%,2279,3905,2365,726444159,318756,0.41%
5/13/2025,5,603604,3669,7502,4243,1261299543,0.61%,3258,6207,3518,1044772818,320679,0.54%
5/14/2025,5,688322,3575,7317,4053,1225700067,0.52%,3226,6137,3414,1024177047,317476,0.47%
5/15/2025,5,1023390,16034,38388,19005,5257414264,1.57%,14256,31272,15459,4265914291,299236,1.39%
5/16/2025,5,818667,4306,9517,4995,1523099290,0.53%,4305,8907,4596,1382845672,321219,0.53%
5/17/2025,5,903834,4563,9912,5235,1602605997,0.50%,4240,8499,4496,1354105778,319365,0.47%
5/18/2025,5,956186,5969,14147,7053,2190487023,0.62%,5414,11601,5845,1792061761,331005,0.57%
5/19/2025,5,584518,2683,4721,2951,919060256,0.46%,2648,4491,2749,844628057,318968,0.45%
5/20/2025,5,595856,3790,7960,4255,1334654433,0.64%,3381,6576,3558,1111472214,328741,0.57%
5/21/2025,5,430849,2828,4849,3101,923862111,0.66%,2696,4408,2790,826403109,306529,0.63%
5/22/2025,5,411306,2470,4205,2700,828131123,0.60%,2312,3763,2415,735728369,318222,0.56%
5/23/2025,5,381897,2402,4152,2626,802665548,0.63%,2262,3748,2363,720051043,318325,0.59%
